Session,Team,No,Space,Action,Erros,Attempts,Score
1,IRI,2,9,3,1.0,0.0,0.0
1,IRI,22,1,2,1.0,0.0,0.0
1,IRI,22,4,8,0.0,1.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,17,12,6,1.0,0.0,0.0
1,IRI,22,7,8,0.0,0.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,0.0
1,IRI,2,8,3,0.0,0.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,1.0
1,IRI,22,11,6,1.0,0.0,0.0
1,IRI,5,10,6,0.0,0.0,0.0
1,IRI,18,3,2,0.0,0.0,0.0
1,IRI,5,5,3,0.0,0.0,0.0
1,IRI,17,3,1,1.0,0.0,0.0
1,IRI,18,12,4,0.0,0.0,0.0
1,IRI,22,9,3,1.0,0.0,0.0
1,IRI,1,4,8,0.0,0.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,2,3,1,0.0,0.0,1.0
1,IRI,2,11,6,0.0,0.0,0.0
1,IRI,8,5,3,0.0,0.0,0.0
1,IRI,18,3,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,2,12,4,0.0,0.0,1.0
1,IRI,1,2,2,0.0,0.0,0.0
1,IRI,2,8,3,1.0,0.0,0.0
1,IRI,1,10,4,0.0,0.0,0.0
1,IRI,1,4,3,0.0,0.0,0.0
1,IRI,22,1,3,0.0,0.0,0.0
1,IRI,5,2,1,0.0,0.0,1.0
1,IRI,1,10,4,0.0,0.0,0.0
1,IRI,22,1,2,1.0,0.0,0.0
1,IRI,5,2,8,1.0,0.0,0.0
1,IRI,2,8,8,0.0,1.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,2,2,1,0.0,0.0,1.0
1,IRI,17,12,6,0.0,0.0,0.0
1,IRI,17,3,3,1.0,0.0,0.0
1,IRI,2,8,8,0.0,0.0,0.0
1,IRI,5,2,1,0.0,0.0,1.0
1,IRI,2,11,6,0.0,0.0,0.0
1,IRI,18,2,3,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,0.0
1,IRI,17,3,2,1.0,0.0,0.0
1,IRI,8,4,8,0.0,1.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,17,3,1,1.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,0.0
1,IRI,17,3,3,1.0,0.0,0.0
1,IRI,22,4,8,0.0,0.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,0.0
1,IRI,8,7,3,0.0,0.0,0.0
1,IRI,2,8,5,0.0,0.0,0.0
1,IRI,22,1,1,1.0,0.0,0.0
1,IRI,2,8,8,0.0,1.0,0.0
1,IRI,49,1,1,0.0,0.0,1.0
1,IRI,1,10,4,0.0,0.0,0.0
1,IRI,1,4,3,1.0,0.0,0.0
1,IRI,49,2,2,1.0,0.0,0.0
1,IRI,49,11,6,0.0,0.0,0.0
1,IRI,17,6,3,1.0,0.0,0.0
1,IRI,4,9,8,0.0,1.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,2,1,1,0.0,0.0,1.0
1,IRI,5,10,6,1.0,0.0,0.0
1,IRI,49,8,8,0.0,0.0,0.0
1,IRI,18,5,5,0.0,0.0,0.0
1,IRI,2,1,1,0.0,0.0,0.0
1,IRI,2,1,2,0.0,0.0,0.0
1,IRI,49,5,8,0.0,0.0,0.0
1,IRI,18,1,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,18,12,4,0.0,0.0,0.0
1,IRI,2,1,2,1.0,0.0,0.0
1,IRI,8,8,8,0.0,0.0,0.0
1,IRI,2,13,5,1.0,0.0,0.0
1,IRI,49,7,8,0.0,0.0,0.0
1,IRI,18,1,5,0.0,0.0,0.0
1,IRI,1,1,1,0.0,0.0,0.0
1,IRI,1,3,3,1.0,0.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,2,11,6,0.0,0.0,0.0
1,POL,19,2,5,0.0,0.0,0.0
1,POL,6,3,1,1.0,0.0,0.0
1,POL,14,7,8,0.0,0.0,0.0
1,POL,19,1,5,0.0,0.0,0.0
1,POL,6,3,1,0.0,0.0,1.0
1,POL,15,11,6,0.0,0.0,0.0
1,POL,19,5,3,0.0,0.0,0.0
1,POL,14,4,5,0.0,0.0,0.0
1,POL,16,1,1,0.0,0.0,1.0
1,POL,15,11,6,0.0,0.0,0.0
1,POL,15,4,3,0.0,0.0,0.0
